"id","x_name","x_studio_tag_ids","x_studio_periodos","x_studio_descripcin","x_studio_marca","x_studio_ean","x_studio_cdigo_referencia_proveedor","x_studio_proveedor","x_studio_trazabilidad_levantamiento","x_studio_pm_asociado","x_studio_origen","x_studio_eye","x_studio_raee","x_studio_pilas","x_studio_neumticos","x_studio_bateras","x_studio_aceites_y_lubricantes","x_studio_es_mdh","x_studio_stage_id"
"__export__.x_productos_621569_0aa4c22f","849424002TXD","TxD - SKUs","2023","642BLTBV19-551 BL/BLANC/SURT","TRIBU","","","COTFAB (INDIA)","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621568_e6e3a491","848203002TXD","TxD - SKUs","2023","TOALLA DUCHA/ROAB1","AUSSIE","","","ANDES RETAIL SPA","","","NACIONAL","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621567_bf8cb123","847801001TXD","TxD - SKUs","2023","FOSTER LARGO PACK 3","FOSTER","","","COMERCIAL HACHECE LTDA","","","NACIONAL","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621566_b60470db","845973002TXD","TxD - SKUs","2023","PACKPAÑUELOCORBATAF/SURTI/TU","ALANIZ","","","SOC COM IMP EXP EME ERRE CHILE LTDA","","","NACIONAL","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621565_ae08b9e9","845364999TXD","TxD - SKUs","2023","VENTA ANTICIPADA","PARIS","","","CENCOSUD RETAIL S.A.","","","NACIONAL","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621564_330aeca1","844721035TXD","TxD - SKUs","2023","661BEFOV22-450 BE/RJAB1/T 44","FOSTER","","","DOU 1900 SL","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621563_0fa6af95","844721009TXD","TxD - SKUs","2023","661BEFOV22-450 BE/BLANC/T 40","FOSTER","","","DOU 1900 SL","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621562_9f7fb3eb","844719003TXD","TxD - SKUs","2023","661JDFOV22-451 JA/NEGRO/T 40","FOSTER","","","BLUE Y CHIC TRADING LIMITED","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621561_97f0b65a","844717004TXD","TxD - SKUs","2023","661JEFOV22-651 JE/AZME1/T 42","FOSTER","","","BLUE Y CHIC TRADING LIMITED","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621560_21730098","844678002TXD","TxD - SKUs","2023","661JEFOV22-450 JE/NEGRO/T 38","FOSTER","","","BLUE Y CHIC TRADING LIMITED","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621559_48138cf2","844669006TXD","TxD - SKUs","2023","661CMFOV22-503 CA/MIS2/S","FOSTER","","","NANTONG SUNSHINE GARMENTS CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621558_f449922b","844649016TXD","TxD - SKUs","2023","661POFOV22-407 PO/MIS2/L","FOSTER","","","B TRADE INTERNATIONAL LIMITED","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621557_393906fa","844047999TXD","TxD - SKUs","2023","PANTALON SLIM FIT JJO T42","JJO","","","COMERCIAL ALPHATEX LIMITADA","","","NACIONAL","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621556_87e6d97c","843997999TXD","TxD - SKUs","2023","BLUSA ENTALLADA MOON L","MOON","","","COMERCIAL ALPHATEX LIMITADA","","","NACIONAL","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621555_a1c1ed85","843995999TXD","TxD - SKUs","2023","BLUSA ENTALLADA MOON M","MOON","","","COMERCIAL ALPHATEX LIMITADA","","","NACIONAL","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621554_019d5ece","843992999TXD","TxD - SKUs","2023","BLUSA ENTALLADA MOON XS","MOON","","","COMERCIAL ALPHATEX LIMITADA","","","NACIONAL","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621553_954ed79c","843985999TXD","TxD - SKUs","2023","BLUSA ENTALLADA MOON T16","MOON","","","COMERCIAL ALPHATEX LIMITADA","","","NACIONAL","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621552_374c1637","843984999TXD","TxD - SKUs","2023","BLUSA ENTALLADA MOON T14","MOON","","","COMERCIAL ALPHATEX LIMITADA","","","NACIONAL","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621551_2041afdd","843981999TXD","TxD - SKUs","2023","BLUSA ENTALLADA MOON T12","MOON","","","COMERCIAL ALPHATEX LIMITADA","","","NACIONAL","True","","","","","","","No completado - Nuevo"
